Year,SST_mean
1982,12.28903585
1983,13.81124014
1984,13.28092473
1985,11.69953404
1986,12.07318997
1987,12.30944444
1988,12.29726882
1989,13.22238351
1990,12.72960932
1991,11.84460753
1992,12.69167741
1993,14.17620788
1994,13.58560574
1995,12.14827957
1996,12.77775986
1997,14.26074731
1998,12.97316308
1999,12.67086918
2000,13.31500358
2001,13.00596057
2002,13.02731541
2003,13.74561112
2004,15.09537634
2005,14.58847491
2006,12.91496774
2007,12.87876702
2008,11.9469104
2009,12.52160036
2010,12.05143907
2011,13.03196416
2012,11.2967043
2013,14.16314875
2014,13.62600538
2015,14.46541219
2016,14.88952688
2017,13.95216846
2018,13.16059498
2019,15.34705914
2020,13.90010932
